id,question
13,"Can you tell me the cuisine type of the recipe Polenta With Winter Salad, Poached Egg, and Blue Cheese?"
13,"What does the protein content of the Polenta With Winter Salad, Poached Egg, and Blue Cheese suggest about its suitability for a high-protein diet?"
14,What are the nutritional details of the Sauteed Fiddlehead Ferns recipe?
14,Can you tell me the amount of protein in the Sauteed Fiddlehead Ferns dish?
14,I am following a DASH diet. Is the Sauteed Fiddlehead Ferns recipe suitable for me?
14,What is the cuisine type for the Sauteed Fiddlehead Ferns recipe?
14,How many grams of carbohydrates are in the Sauteed Fiddlehead Ferns meal?
15,What is the total protein content in the Skillet-Roasted Citrus Salmon with Grilled Vegetables recipe?
15,Can you tell me how many grams of carbohydrates are in the Skillet-Roasted Citrus Salmon with Grilled Vegetables?
15,What is the fat content in the Skillet-Roasted Citrus Salmon with Grilled Vegetables?
15,What type of diet is the Skillet-Roasted Citrus Salmon with Grilled Vegetables recipe suitable for?
15,Which cuisine does the Skillet-Roasted Citrus Salmon with Grilled Vegetables recipe belong to?
16,What are the main nutrients provided by the Little Neck Clams with Sungold Tomatoes dish?
16,Is the Little Neck Clams with Sungold Tomatoes suitable for a DASH diet?
16,Can you tell me about the cuisine style of the Little Neck Clams with Sungold Tomatoes recipe?
16,How high in protein is the Little Neck Clams with Sungold Tomatoes dish?
16,What type of carbs are found in the Little Neck Clams with Sungold Tomatoes recipe?
17,What type of diet does the Gazpacho recipe fall under in the provided information?
17,How much protein is contained in the Gazpacho recipe according to the given data?
17,Could you tell me the amount of carbohydrates in the Gazpacho recipe from the details provided?
17,"Based on the given recipe information, what is the fat content in the Gazpacho?"
17,What kind of cuisine is the Gazpacho recipe categorized under in the details you provided?
18,What is the fat content of the Steak Fajitas with Avocado Lime Crema?
18,Can you tell me how many grams of protein are in the Steak Fajitas with Avocado Lime Crema?
18,How many grams of carbohydrates does the Steak Fajitas with Avocado Lime Crema contain?
18,Is the Steak Fajitas with Avocado Lime Crema a suitable recipe for someone following the DASH diet?
18,Could you provide the type of cuisine for the Steak Fajitas with Avocado Lime Crema?
19,What is the protein content in the Vegetarian Beyond Meat Juicy Lucy Burger from the DASH diet type recipe?
19,How many grams of carbohydrates does the Vegetarian Beyond Meat Juicy Lucy Burger contain?
19,Can you tell me the amount of fat in the Vegetarian Beyond Meat Juicy Lucy Burger?
19,Which cuisine type does the Vegetarian Beyond Meat Juicy Lucy Burger belong to?
19,Is the Vegetarian Beyond Meat Juicy Lucy Burger suitable for someone following a DASH diet?
20,What is the protein content in the French Toast 'n' Cheese Sandwich?
20,Can you tell me the carbohydrate level in the French Toast 'n' Cheese Sandwich?
20,How much fat does the French Toast 'n' Cheese Sandwich contain?
20,Is a French Toast 'n' Cheese Sandwich considered part of the DASH diet?
20,What type of cuisine does the French Toast 'n' Cheese Sandwich belong to?
21,What are the main nutritional components of the Bourbon Maple Cider recipe?
21,Could you tell me the amount of carbohydrates in the Bourbon Maple Cider recipe?
21,Is the Bourbon Maple Cider recipe considered to have a high or low protein content?
21,What diet type does the Bourbon Maple Cider recipe fall under?
21,How much fat is present in the Bourbon Maple Cider recipe?
22,What are some potential health benefits of including a recipe like Cheesy Bruschetta Chicken in a DASH diet?
22,How does the carb content of Cheesy Bruschetta Chicken fit into a typical DASH diet meal plan?
22,Can the high protein content in Cheesy Bruschetta Chicken be beneficial for someone on an Italian DASH diet plan?
22,What modifications could be made to the Cheesy Bruschetta Chicken recipe to reduce its fat content?
22,How might the Cheesy Bruschetta Chicken recipe align with the dietary goals of someone focusing on Italian cuisine within the DASH diet guidelines?
23,What is the total carbohydrate content in the Black River Pearl recipe?
23,Can you tell me the protein content of the Black River Pearl dish?
23,How much fat is there in the Black River Pearl recipe?
23,What type of diet does the Black River Pearl recipe belong to?
23,What is the cuisine type of the Black River Pearl recipe?
24,What is the amount of carbohydrates in the Rum Swizzle recipe?
24,Can you tell me the protein content of the Rum Swizzle?
24,How much fat does the Rum Swizzle contain?
24,In what type of diet is the Rum Swizzle recipe categorized?
24,What cuisine is the Rum Swizzle recipe from?
25,What is the protein content in the Fried Deviled Eggs from the South East Asian cuisine in grams?
25,Could you tell me how many grams of carbohydrates are present in the DASH diet Fried Deviled Eggs?
25,"For the DASH diet recipe of Fried Deviled Eggs, what is the amount of fat in grams?"
25,I want to know the cuisine type for the Fried Deviled Eggs recipe listed under the DASH diet.
25,"Can you provide the total grams of protein, carbohydrates, and fat in the Fried Deviled Eggs from the DASH diet?"
26,What are the main sources of macronutrients in the Grilled Butterflied Lamb with African Spices and Herbed Yogurt?
26,How does the fat content in the Grilled Butterflied Lamb recipe compare to its protein and carbohydrate content?
26,Can you tell me what cuisine the Grilled Butterflied Lamb with African Spices and Herbed Yogurt is categorized under?
26,What is the overall protein content in the Grilled Butterflied Lamb with African Spices and Herbed Yogurt?
26,Is the Grilled Butterflied Lamb with African Spices and Herbed Yogurt suitable for maintaining a DASH diet?
27,How many grams of protein are in the Fried ham and cheese sandwich recipe?
27,What is the carbohydrate content in the Fried ham and cheese sandwich?
27,Can you tell me the amount of fat in the Fried ham and cheese sandwich?
27,What diet type does the Fried ham and cheese sandwich adhere to?
27,Which cuisine is the Fried ham and cheese sandwich associated with?
28,What is the main focus of the DASH diet that the 'Kim in the Swim' recipe follows?
28,How many grams of carbohydrates are in the 'Kim in the Swim' recipe?
28,Can you tell me how much protein is in the 'Kim in the Swim' recipe?
28,What type of cuisine does the 'Kim in the Swim' recipe belong to?
28,How much fat does the 'Kim in the Swim' recipe contain?
29,What are some high-protein recipes that fit the DASH diet?
29,Can you suggest a Mexican dish that is low in carbs?
29,I am looking for recipes with a good balance of protein and fat; any recommendations?
29,How can I modify a chili dish to increase its vegetable content while keeping it within a healthy diet?
29,What is the nutritional breakdown of the 'Chile Hold The Beans Add The Vegs' recipe?
30,What are the essential components of nutrition in the Trout Parmesan recipe?
30,Can you tell me more about the French cuisine style of the Trout Parmesan dish?
30,How does the protein content in Trout Parmesan compare to other dash diet recipes?
30,What makes the Trout Parmesan suitable for a dash diet?
30,Could you provide details on the carbohydrates present in the Trout Parmesan recipe?
31,What is the protein content in the Citrus Grilled Salmon recipe?
31,Can you tell me the carbohydrate amount in the Nordic cuisine Citrus Grilled Salmon?
31,How much fat does the DASH diet Citrus Grilled Salmon recipe contain?
31,Is the Citrus Grilled Salmon recipe high in protein?
31,"Can I find out the nutritional breakdown, including protein, carbs, and fat, for the Citrus Grilled Salmon recipe?"
32,What is the protein content in the Smoked Tuna Dip recipe?
32,Can you tell me the amount of carbohydrates found in the Smoked Tuna Dip?
32,How much fat does the Smoked Tuna Dip contain?
32,Is the Smoked Tuna Dip suitable for someone following a DASH diet?
32,What type of cuisine does the Smoked Tuna Dip belong to?
33,What is the total carbohydrate content in the Anything-But-Clementine Clafoutis recipe?
33,Can you tell me how much protein is in the Anything-But-Clementine Clafoutis recipe?
33,How much fat does the Anything-But-Clementine Clafoutis contain?
33,Is the Anything-But-Clementine Clafoutis suitable for a DASH diet?
33,Which cuisine does the Anything-But-Clementine Clafoutis recipe belong to?
34,How does the Grilled Bread with Goat Cheese & Green Olives recipe fit into a DASH diet plan?
34,What is the total carbohydrate content in the Grilled Bread with Goat Cheese & Green Olives recipe?
34,Can you tell me about the protein content in this Mediterranean recipe with goat cheese?
34,What are the distinguishing features of the Mediterranean cuisine in the Grilled Bread with Goat Cheese & Green Olives dish?
34,Is the fat content in the Grilled Bread with Goat Cheese & Green Olives recipe considered high for a DASH diet?
35,What is the total carbohydrate content in the Orange Sweet Rolls recipe?
35,Can you tell me the amount of protein in the Orange Sweet Rolls from the DASH diet?
35,"How much fat is in the Orange Sweet Rolls, categorized under American cuisine?"
35,What is the specific diet type for the recipe named Orange Sweet Rolls?
35,"Could you give me a brief overview of the nutritional content, including protein, carbs, and fat, for the Orange Sweet Rolls?"
36,What are the health benefits of following a DASH diet with recipes like the Green Monster?
36,How does the low fat content in the Green Monster Recipe fit into a balanced DASH diet plan?
36,Is the amount of protein in the Green Monster Recipe sufficient for a DASH diet staple?
36,Can the Green Monster Recipe's carbohydrate content be considered high or low for a typical meal in a DASH diet?
36,How would you categorize the Green Monster Recipe in terms of its suitability for a world cuisine lover following a DASH diet?
37,What are the health benefits of including cottage cheese in the Pesto Cottage Cheese Dip?
37,How does the DASH diet influence the preparation or choice of ingredients for the Pesto Cottage Cheese Dip?
37,Is the amount of protein in the Pesto Cottage Cheese Dip suitable for someone following a high-protein diet?
37,"Can the Pesto Cottage Cheese Dip be considered low in carbohydrates, and is it appropriate for a low-carb diet?"
37,Is the fat content in the Pesto Cottage Cheese Dip considered high for someone trying to reduce fat intake in their meals?
38,"What are the macronutrient breakdowns for the Milky Way Cake in terms of protein, carbohydrates, and fat?"
38,Can you tell me if the Milky Way Cake fits within the DASH diet?
38,What is the carbohydrate content in the Milky Way Cake recipe?
38,How much protein does the Milky Way Cake contain?
38,Is the Milky Way Cake considered an American cuisine dish?
39,What type of diet is suitable for the Sweet 'N Spicy Red Eye Ham Steaks With Cheese Grits And Seared Chard recipe?
39,How much protein does the Sweet 'N Spicy Red Eye Ham Steaks With Cheese Grits And Seared Chard contain?
39,Can you tell me the cuisine classification of the Sweet 'N Spicy Red Eye Ham Steaks With Cheese Grits And Seared Chard?
39,What is the carbohydrate content of the Sweet 'N Spicy Red Eye Ham Steaks With Cheese Grits And Seared Chard?
39,How much fat is in the Sweet 'N Spicy Red Eye Ham Steaks With Cheese Grits And Seared Chard dish?
40,Can I eat Keto Stuffed Peppers With Cauliflower Rice if I'm following a keto diet?
40,What is the total carbohydrate content in the Keto Stuffed Peppers With Cauliflower Rice recipe?
40,Does the recipe for Keto Stuffed Peppers With Cauliflower Rice contain more protein or fat?
40,Is the Keto Stuffed Peppers With Cauliflower Rice recipe suitable for a Mediterranean diet?
40,How much protein does the Keto Stuffed Peppers With Cauliflower Rice recipe provide?
41,What makes Aunt Rocky's Sausage & Cheddar Biscuit Snacks suitable for a keto diet?
41,Can you tell me how many grams of protein are in Aunt Rocky’s Sausage & Cheddar Biscuit Snacks?
41,How many grams of carbs does the recipe for Aunt Rocky's Sausage & Cheddar Biscuit Snacks contain?
41,Is Aunt Rocky's Sausage & Cheddar Biscuit Snacks safe for someone with gluten intolerance?
41,How much fat is included in the Aunt Rocky’s Sausage & Cheddar Biscuit Snacks recipe?
42,What is the level of carbohydrates in the Keto Parmesan Roasted Broccoli recipe?
42,Can you tell me the protein content in the Keto Parmesan Roasted Broccoli?
42,What kind of cuisine does the Keto Parmesan Roasted Broccoli recipe belong to?
42,How much fat is included in the Keto Parmesan Roasted Broccoli dish?
42,Does the Keto Parmesan Roasted Broccoli recipe fit within a ketogenic diet?
43,What is the amount of protein in the Keto Cilantro Lime Cauliflower Rice recipe?
43,Can you tell me how many carbohydrates are in this Mediterranean dish called Keto Cilantro Lime Cauliflower Rice?
43,"Does the Keto Cilantro Lime Cauliflower Rice have a high fat content, and if so, how much?"
43,How does the Keto Cilantro Lime Cauliflower Rice fit into a keto diet given its carbohydrate content?
43,What type of cuisine is the Keto Cilantro Lime Cauliflower Rice recipe categorized under?
44,What is the carbohydrate content in the Keto Slow Cooker Mexican Chicken Thighs recipe?
44,Can you tell me how much protein is in the Keto Slow Cooker Mexican Chicken Thighs?
44,How much fat does the Keto Slow Cooker Mexican Chicken Thighs recipe contain?
44,Which cuisine does the Keto Slow Cooker Mexican Chicken Thighs fall under?
44,Is the Keto Slow Cooker Mexican Chicken Thighs suitable for a keto diet?
45,What are the main ingredients used in the Keto Parmesan Crisps with Tomato Slices recipe?
45,How many carbohydrates are in the Keto Parmesan Crisps with Tomato Slices?
45,Is the Keto Parmesan Crisps with Tomato Slices dish fitting within a low-carb diet?
45,What cuisine does the Keto Parmesan Crisps with Tomato Slices recipe belong to?
45,How much protein does the Keto Parmesan Crisps with Tomato Slices contain?
46,"What are the macronutrient contents of the Moroccan Ketchup - Keto Spicy Tomato Dip recipe, specifically the protein, carbs, and fat amounts?"
46,How suitable is the Moroccan Ketchup for a keto diet given its carbohydrate content?
46,Can you suggest ways to reduce the carbohydrates in the Moroccan Ketchup - Keto Spicy Tomato Dip to make it more keto-friendly?
46,Is the Moroccan Ketchup - Keto Spicy Tomato Dip considered high in protein for a keto recipe?
46,"What is the total fat content in the Moroccan Ketchup - Keto Spicy Tomato Dip recipe, and how does it align with a typical keto diet?"
47,Can you tell me how much protein is in the Quick Keto Chocolate Mousse?
47,What is the total amount of carbs found in the Quick Keto Chocolate Mousse?
47,How much fat does the Quick Keto Chocolate Mousse contain?
47,Is the Quick Keto Chocolate Mousse suitable for a ketogenic diet?
47,What kind of cuisine is the Quick Keto Chocolate Mousse classified under?
48,What is the total carbohydrate content in the Low Carb Keto 'Cornbread' recipe?
48,Can you tell me how much protein is in the keto 'Cornbread' recipe?
48,How much fat does this Low Carb Keto 'Cornbread' contain?
48,What type of cuisine is the Low Carb Keto 'Cornbread' recipe classified under?
48,Is the Low Carb Keto 'Cornbread' suitable for a ketogenic diet?
49,What type of diet is suitable for a Blueberry Cheesecake Keto recipe?
49,How many grams of protein are in the Blueberry Cheesecake Keto recipe?
49,What is the total fat content in the Blueberry Cheesecake Keto recipe?
49,Could you tell me the amount of carbohydrates in the Blueberry Cheesecake Keto recipe?
49,What cuisine does the Blueberry Cheesecake Keto recipe belong to?
50,What is the total carbohydrate content in the Easy Four Cheese Pesto Zoodles - Keto recipe?
50,Is the Easy Four Cheese Pesto Zoodles suitable for a keto diet?
50,What is the cuisine type for the Easy Four Cheese Pesto Zoodles - Keto recipe?
50,Can you tell me about the protein content in the Easy Four Cheese Pesto Zoodles?
50,What type of diet is the Easy Four Cheese Pesto Zoodles recipe categorized under?
51,What is the protein content in the Mustard Sardines Salad Recipe for a keto diet?
51,How many grams of carbohydrates are in the Mustard Sardines Salad Recipe?
51,Can you tell me the amount of fat in the Mustard Sardines Salad Recipe?
51,What type of cuisine is the Mustard Sardines Salad Recipe associated with?
51,Is the Mustard Sardines Salad suitable for a keto diet?
52,"What is the amount of protein in the Broccoli & Chicken Stir Fry Recipe that's listed as a keto, low carb, and paleo option?"
52,Can you tell me the total carbohydrate content in the Chinese keto recipe Broccoli & Chicken Stir Fry?
52,How much fat is included in the Broccoli & Chicken Stir Fry Recipe for the keto diet?
52,"What type of diet does the Broccoli & Chicken Stir Fry Recipe cater to, according to the provided information?"
52,Could you give me an idea of what cuisine type the Broccoli & Chicken Stir Fry Recipe belongs to?
53,What is the main source of protein in the Keto Pesto Chicken Pasta?
53,Does the Keto Pesto Chicken Pasta have a high fat content?
53,Is the Keto Pesto Chicken Pasta suitable for a keto diet?
53,How many grams of carbohydrates are in the Keto Pesto Chicken Pasta?
53,Can you tell me the cuisine type of the Keto Pesto Chicken Pasta recipe?
54,What are the main ingredients in the Keto bounty balls recipe?
54,Can you tell me how many grams of fat are in each serving of the Keto bounty balls?
54,Is the Keto bounty balls recipe suitable for someone on a ketogenic diet?
54,How does the amount of protein in Keto bounty balls compare to its carbohydrate content?
54,Would the Keto bounty balls recipe be considered a high-carbohydrate dessert?
55,What is the protein content in the Crockpot Chicken Enchilada Bowls recipe for a keto diet?
55,How many grams of carbohydrates are in the Crockpot Chicken Enchilada Bowls which are suitable for a Whole30 diet?
55,Can you tell me the amount of fat included in the Paleo-friendly Crockpot Chicken Enchilada Bowls?
55,"Is the Crockpot Chicken Enchilada Bowls recipe high in protein, and if so, how much does it contain?"
55,"For someone following a keto diet, how many carbs are in the Crockpot Chicken Enchilada Bowls?"
56,What is the carb content in the Easy Keto Meatballs recipe?
56,Can you tell me the amount of protein in the Easy Keto Meatballs?
56,How much fat is contained in the Easy Keto Meatballs according to the recipe?
56,Is the Easy Keto Meatballs recipe suitable for a keto diet?
56,Which cuisine type is the Easy Keto Meatballs recipe categorized under?
57,What is the primary source of protein in the Keto Broccoli Casserole recipe?
57,Does the Keto Broccoli Casserole fit within a low-carb diet?
57,Can the Keto Broccoli Casserole be considered a high-fat dish?
57,What cuisine does the Keto Broccoli Casserole fall under?
57,What is the total carbohydrate content in the Keto Broccoli Casserole?
58,What is the carbohydrate content in the recipe for fully loaded pan fried radishes?
58,How much protein can I expect from the fully loaded pan fried radishes recipe?
58,Could you tell me the fat content in the keto recipe for fully loaded pan fried radishes?
58,Is the fully loaded pan fried radishes recipe suitable for a British cuisine diet?
58,Does the fully loaded pan fried radishes recipe align with the keto diet?
59,What is the protein content in the Easiest Keto Meatza You'll Ever Make recipe?
59,How many grams of carbohydrates are in the Easiest Keto Meatza You’ll Ever Make recipe?
59,Can you tell me the amount of fat in the Easiest Keto Meatza You’ll Ever Make recipe?
59,Is the Easiest Keto Meatza You’ll Ever Make recipe suitable for a keto diet?
59,Which cuisine does the Easiest Keto Meatza You’ll Ever Make recipe belong to?
60,What is a good keto snack option that is influenced by French cuisine?
60,How much protein is in the Rosemary Almond Keto Crackers recipe?
60,Could you tell me the carbohydrate content of the Rosemary Almond Keto Crackers?
60,I am following a keto diet; what is a high-fat recipe I could try?
60,What is an example of a French-inspired recipe with a low carbohydrate content?
61,What are the macronutrient contents of the Keto Condensed Milk recipe?
61,How many grams of protein are in the Keto Condensed Milk dish?
61,Is the Keto Condensed Milk recipe suitable for a keto diet?
61,How does the fat content in the Keto Condensed Milk compare to its carbohydrate content?
61,What type of cuisine does the Keto Condensed Milk belong to?
62,What is the total protein content in the Coconut Curry Chicken keto recipe?
62,Can you tell me the amount of carbohydrates in the Coconut Curry Chicken recipe designed for a keto diet?
62,How much fat does the Coconut Curry Chicken recipe contain?
62,"Is the Coconut Curry Chicken a good option for someone following a keto diet, considering its nutritional content?"
62,Could you confirm if the Coconut Curry Chicken recipe is suitable for Indian cuisine preferences?
63,What are some keto-friendly dessert options that do not use eggs or starch?
63,Can you suggest a British dessert recipe that fits a keto diet plan?
63,How can I make a vanilla pudding that is both egg-free and starch-free?
63,Are there low-carb pudding recipes suitable for a keto diet?
63,"What are the nutrient contents of a keto vanilla pudding, specifically the protein, carbs, and fat amounts?"
64,What are the carbohydrate content and its impact on a keto diet for the Keto Smoky Chicken and Vegetable Sheet Pan Dinner?
64,Can you tell me about the protein content in the Keto Smoky Chicken and Vegetable Sheet Pan Dinner?
64,"How much fat is included in the Keto Smoky Chicken and Vegetable Sheet Pan Dinner, and is it suitable for a keto diet?"
64,Which British cuisine aspects are reflected in the Keto Smoky Chicken and Vegetable Sheet Pan Dinner?
64,Does the Keto Smoky Chicken and Vegetable Sheet Pan Dinner have an appropriate balance of macronutrients for someone on a keto diet?
65,What is the amount of protein in the Keto Mug Cake recipe?
65,Can you tell me how many carbohydrates are in the Keto Mug Cake?
65,How much fat does the Keto Mug Cake contain?
65,Is the Keto Mug Cake recipe suitable for a keto diet?
65,Could you provide the cuisine type for the Keto Mug Cake?
66,What is the protein content in the Keto Thai Red Curry Paste recipe?
66,How many carbohydrates does the Keto Thai Red Curry Paste contain?
66,Could you tell me the amount of fat present in the Keto Thai Red Curry Paste?
66,Is the Keto Thai Red Curry Paste suitable for a ketogenic diet?
66,What type of cuisine does the Keto Thai Red Curry Paste belong to?
67,What are some keto-friendly vegan desserts I can make?
67,How many grams of protein are in a vegan keto shortbread pie crust?
67,Can you tell me the total fat content in a vegan keto shortbread pie crust recipe?
67,What is the carbohydrate content in the vegan keto shortbread pie crust recipe?
67,Is the vegan keto shortbread pie crust recipe suitable for an American cuisine-themed dinner?
68,What is the amount of protein content in the Keto Pepper Steak recipe?
68,How many carbohydrates are in the Keto Pepper Steak?
68,Can you tell me the total fat content in the Keto Pepper Steak?
68,Is the Keto Pepper Steak suitable for a ketogenic diet given its carbohydrate content?
68,What type of cuisine does the Keto Pepper Steak belong to?
69,How many grams of carbohydrates are in the Keto Slow Cooker Brisket Chili Recipe?
69,Can you tell me the protein content in the Keto Slow Cooker Brisket Chili Recipe?
69,What is the fat content in the Keto Slow Cooker Brisket Chili Recipe?
69,What cuisine type does the Keto Slow Cooker Brisket Chili Recipe belong to?
69,Is the Keto Slow Cooker Brisket Chili Recipe suitable for someone following a keto diet?
70,What is the carbohydrate content in the Keto Pork Chops al Pastor - Low Carb recipe?
70,Could you tell me the amount of protein in the Keto Pork Chops al Pastor - Low Carb?
70,How much fat does the Keto Pork Chops al Pastor - Low Carb recipe contain?
70,Is the Keto Pork Chops al Pastor - Low Carb recipe suitable for a ketogenic diet?
70,What type of cuisine is the Keto Pork Chops al Pastor - Low Carb from?
71,How many grams of protein are in the Keto Cheesy Beef Taco Skillet with Cauliflower?
71,What type of cuisine is the Keto Cheesy Beef Taco Skillet with Cauliflower classified as?
71,Can you tell me the carbohydrate content of the Keto Cheesy Beef Taco Skillet with Cauliflower?
71,What is the amount of fat present in the Keto Cheesy Beef Taco Skillet with Cauliflower?
71,Is the Keto Cheesy Beef Taco Skillet with Cauliflower suitable for a keto diet?
72,"What are the main ingredients used in the Gluten Free, Keto Friendly, Low Carb, Pie crust recipe?"
72,How many grams of carbohydrates are in the Keto Friendly Pie crust?
72,Is the British cuisine style Pie crust suitable for a keto diet?
72,What is the protein content of the Low Carb Pie crust?
72,Can you tell me about the fat content in the Keto Friendly Pie crust?
73,How many grams of protein are in the EZ Keto Pizza recipe?
73,What is the carbohydrate content for the EZ Keto Pizza in grams?
73,Can you tell me the total fat content for the EZ Keto Pizza?
73,Is the EZ Keto Pizza suitable for a keto diet?
73,What type of cuisine does the EZ Keto Pizza belong to?
74,What is the total amount of protein in the Air Fryer Keto Fried Chicken recipe?
74,Is the Air Fryer Keto Fried Chicken recipe suitable for a gluten-free diet?
74,Does the Air Fryer Keto Fried Chicken recipe fall under the American cuisine category?
74,How many grams of carbohydrates are present in the Air Fryer Keto Fried Chicken meal?
74,Can the Air Fryer Keto Fried Chicken recipe be classified as paleo?
75,Can you tell me how many grams of protein are present in the KETO Mexican Melty Chicken Queso Casserole?
75,What is the total carbohydrate content in the KETO Mexican Melty Chicken Queso Casserole?
75,I'd like to know the amount of fat in the KETO Mexican Melty Chicken Queso Casserole. Can you provide that?
75,What diet type does the KETO Mexican Melty Chicken Queso Casserole belong to?
75,Could you confirm the cuisine category of the KETO Mexican Melty Chicken Queso Casserole?
76,What are the macronutrient contents of the Keto-Friendly Soft Tacos recipe?
76,Can you tell me if the Keto-Friendly Soft Tacos are suitable for a keto diet?
76,How many grams of protein does the Keto-Friendly Soft Tacos recipe contain?
76,What is the total amount of carbohydrates in the Keto-Friendly Soft Tacos?
76,Could you provide the fat content for the Keto-Friendly Soft Tacos recipe?
77,What is the primary diet type of the Easy Keto Korean Beef with Cauli Rice recipe?
77,Can you tell me how many grams of protein are in the Easy Keto Korean Beef with Cauli Rice dish?
77,Could you specify the total carbohydrate content found in the Easy Keto Korean Beef with Cauli Rice meal?
77,I would like to know the fat content in grams for the Easy Keto Korean Beef with Cauli Rice recipe.
77,What kind of cuisine does the Easy Keto Korean Beef with Cauli Rice recipe belong to?
78,How much protein is in the Mini Zucchini Avocado Burgers?
78,What is the carbohydrate content of the Mini Zucchini Avocado Burgers recipe?
78,"I am following a keto diet, is the Mini Zucchini Avocado Burgers recipe suitable for me?"
